n_proc,time
1, 1753.7646956457756
2, 718.8527811048552
3, 613.2473899750039
4, 422.611086091958
5, 454.5093603269197
6, 423.6366648687981
7, 308.59865317493677
8, 360.74549012305215
9, 350.57134603196755
10, 334.76018710108474
