n_proc, time
1, 1249.1660970537923
2, 666.5798340328038
3, 563.8199511319399
4, 485.1541225668043
5, 369.2102557090111
6, 361.4854977731593
7, 311.79149186005816
8, 282.38191386312246
9, 306.39091368112713
10, 290.2785885510966
